MOVIE_ID,YEAR,MONTH,DAY,SEASON,WEEKDAY,TIME
539,2007,3,20,spring,Tuesday,2007-03-20
540,1998,11,27,autumn,Friday,1998-11-27
541,2010,8,27,summer,Friday,2010-08-27
542,2011,6,12,summer,Sunday,2011-06-12
543,2011,6,7,summer,Tuesday,2011-06-07
544,2010,8,27,summer,Friday,2010-08-27
545,2006,10,1,autumn,Sunday,2006-10-01
546,2004,7,14,summer,Wednesday,2004-07-14
547,2005,5,24,spring,Tuesday,2005-05-24
548,2006,9,29,autumn,Friday,2006-09-29
549,2012,6,26,summer,Tuesday,2012-06-26
550,2012,1,4,winter,Wednesday,2012-01-04
551,2004,12,14,winter,Tuesday,2004-12-14
552,2011,2,1,winter,Tuesday,2011-02-01
553,2002,4,22,spring,Monday,2002-04-22
554,2006,9,29,autumn,Friday,2006-09-29
555,2010,2,5,winter,Friday,2010-02-05
556,2008,4,25,spring,Friday,2008-04-25
557,2012,9,3,autumn,Monday,2012-09-03
558,2009,3,29,spring,Sunday,2009-03-29
559,2006,10,1,autumn,Sunday,2006-10-01
560,2008,11,26,autumn,Wednesday,2008-11-26
561,2004,11,9,autumn,Tuesday,2004-11-09
562,2009,11,17,autumn,Tuesday,2009-11-17
